rank,prev_rank,name,league,off,def,spi
553,545,Exeter City,English League Two,0.95,2.19,21.46
554,547,Vicenza,Italy Serie B,0.74,1.86,21.38
555,551,Volos NFC,Greek Super League,0.65,1.73,21.22
556,552,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
557,550,Chateauroux,French Ligue 2,0.62,1.7,20.8
558,569,US Pescara,Italy Serie B,0.66,1.78,20.66
559,557,Indy Eleven,United Soccer League,0.68,1.84,20.5
560,555,Accrington Stanley,English League One,0.7,1.87,20.41
561,559,Milton Keynes Dons,English League One,0.65,1.78,20.39
562,560,Shonan Bellmare,Japanese J League,0.58,1.68,20.11
563,561,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
564,563,Yokohama FC,Japanese J League,0.68,1.89,19.6
565,568,Reggiana,Italy Serie B,0.67,1.88,19.58
566,562,Sandefjord,Norwegian Tippeligaen,0.6,1.78,19.39
567,566,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
568,570,Virtus Entella,Italy Serie B,0.64,1.89,18.71
569,577,Crewe Alexandra,English League One,0.61,1.85,18.53
570,571,Miami FC,United Soccer League,0.83,2.25,18.46
571,572,Falkenbergs FF,Swedish Allsvenskan,0.74,2.11,18.32
572,580,Shrewsbury Town,English League One,0.59,1.85,18.25
573,573,Kalmar FF,Swedish Allsvenskan,0.6,1.86,18.23
574,574,Saint Louis FC,United Soccer League,0.64,1.94,18.03
575,575,Östersunds FK,Swedish Allsvenskan,0.65,1.97,17.92
576,565,IK Start,Norwegian Tippeligaen,0.67,2.04,17.68
577,581,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
578,582,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
579,589,Mjondalen,Norwegian Tippeligaen,0.55,1.86,17.02
580,578,Hamilton Academical,Scottish Premiership,0.72,2.18,16.95
581,583,Charlotte Independence,United Soccer League,0.66,2.09,16.87
582,584,North Carolina FC,United Soccer League,0.65,2.09,16.69
583,585,LA Galaxy II,United Soccer League,0.84,2.45,16.26
584,567,Cheltenham Town,English League Two,0.55,1.92,16.26
585,587,Wigan,English League One,0.65,2.11,16.21
586,579,Rochdale,English League One,0.69,2.2,16.18
587,593,Swindon Town,English League One,0.71,2.26,15.86
588,576,Burton Albion,English League One,0.78,2.38,15.85
589,594,Oldham Athletic,English League Two,0.83,2.47,15.83
590,586,Ascoli,Italy Serie B,0.58,2.04,15.61
591,591,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
592,592,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
593,595,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
594,603,Plymouth Argyle,English League One,0.65,2.25,14.9
595,590,Bristol Rovers,English League One,0.52,2.02,14.55
596,588,AFC Wimbledon,English League One,0.59,2.17,14.4
597,597,Carlisle United,English League Two,0.52,2.05,14.27
598,604,Crawley Town,English League Two,0.57,2.19,13.94
599,601,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
600,602,Hartford Athletic,United Soccer League,0.66,2.37,13.84
601,596,Leyton Orient,English League Two,0.57,2.21,13.7
602,605,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
603,606,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
604,609,Forest Green Rovers,English League Two,0.39,1.87,13.33
605,607,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
606,600,Bolton,English League Two,0.59,2.31,13.17
607,610,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
608,611,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
609,598,Colchester United,English League Two,0.51,2.21,12.47
610,612,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
611,613,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
612,599,Ross County,Scottish Premiership,0.44,2.11,12.12
613,608,Port Vale,English League Two,0.54,2.32,12.1
614,628,Barrow,English League Two,0.52,2.28,12.1
615,616,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
616,614,Newport County,English League Two,0.39,2.04,11.65
617,615,Cambridge United,English League Two,0.39,2.06,11.57
618,617,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
619,620,Tranmere Rovers,English League Two,0.42,2.13,11.53
620,619,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
621,622,Mansfield Town,English League Two,0.44,2.25,10.89
622,623,Walsall,English League Two,0.42,2.23,10.59
623,618,Aalesund,Norwegian Tippeligaen,0.59,2.64,10.37
624,630,Morecambe,English League Two,0.43,2.3,10.24
625,624,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
626,625,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
627,626,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
628,629,Bradford City,English League Two,0.3,2.05,9.91
629,627,Atlanta United 2,United Soccer League,0.57,2.67,9.86
630,621,Northampton Town,English League One,0.37,2.3,9.22
631,631,Scunthorpe,English League Two,0.31,2.32,8.02
632,632,Stevenage,English League Two,0.2,2.13,7.35
633,635,Harrogate Town,English League Two,0.2,2.24,6.7
634,636,Southend United,English League Two,0.2,2.26,6.68
635,634,Loudoun United FC,United Soccer League,0.34,2.65,6.51
636,633,Grimsby Town,English League Two,0.24,2.47,6.14
637,637,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
