AR,HTR,VCD,PSH,HomeTeam,IWH,AC,HTAG,HF,B365D,AF,HY,Date,WHA,HST,B365H,HR,BWH,AS,PSA,PSD,B365A,HC,WHH,FTAG,Div,AY,VCA,AST,HTHG,IWD,FTHG,FTR,VCH,PSCH,BWA,AwayTeam,BWD,WHD,PSCA,PSCD,HS,IWA
0,D,3.5,3.76,Nurnberg,3.4,3,0,13,3.5,13,2,14/12/2018,2.05,0,3.6,0,3.6,10,2.1,3.51,2.04,6,3.6,2,D1,1,2.1,4,0,3.4,0,A,3.6,3.72,2.1,Wolfsburg,3.4,3.4,2.11,3.53,11,2.15
0,H,3.3,2.57,Augsburg,2.65,7,0,17,3.25,8,2,15/12/2018,2.8,9,2.5,0,2.55,15,2.92,3.41,2.9,6,2.5,1,D1,1,2.88,5,1,3.4,1,D,2.55,2.69,2.8,Schalke 04,3.3,3.3,2.77,3.42,17,2.65
0,H,3.6,2.38,Ein Frankfurt,2.4,7,0,9,3.5,8,6,16/12/2018,2.88,7,2.4,0,2.4,12,2.99,3.71,2.87,10,2.3,1,D1,2,2.9,6,1,3.5,2,H,2.4,2.51,2.9,Leverkusen,3.5,3.6,2.72,3.87,17,2.85
0,H,4.6,7.12,Fortuna Dusseldorf,7.0,2,0,8,4.5,13,1,18/12/2018,1.44,3,7.0,0,7.0,11,1.48,4.63,1.44,2,7.0,1,D1,2,1.5,3,1,4.5,2,H,6.5,6.06,1.45,Dortmund,4.6,4.4,1.55,4.58,8,1.45
1,D,5.5,1.38,Bayern Munich,1.45,5,0,9,5.25,20,2,19/12/2018,8.0,4,1.36,1,1.36,8,8.21,5.36,8.0,5,1.35,0,D1,2,8.0,2,0,4.5,1,H,1.36,1.3,8.0,RB Leipzig,5.25,5.25,10.45,5.84,10,7.0
0,D,4.6,1.56,Dortmund,1.57,2,1,5,4.5,12,0,21/12/2018,5.5,4,1.5,0,1.57,3,5.67,4.65,5.75,4,1.53,1,D1,1,5.75,2,1,4.5,2,H,1.55,1.5,5.25,M'gladbach,4.4,4.4,6.28,4.92,12,5.2
0,A,4.8,5.97,Ein Frankfurt,5.7,4,1,9,4.75,4,2,22/12/2018,1.5,3,5.75,0,6.0,9,1.54,4.67,1.5,3,5.8,3,D1,1,1.53,7,0,4.7,0,A,5.75,6.62,1.5,Bayern Munich,4.6,4.6,1.44,5.3,10,1.5
0,A,3.3,2.64,Augsburg,2.7,4,2,12,3.3,11,2,23/12/2018,2.8,4,2.6,0,2.55,16,2.93,3.28,2.75,3,2.55,3,D1,3,2.88,5,0,3.2,2,A,2.55,2.7,2.75,Wolfsburg,3.4,3.2,2.81,3.35,10,2.7
0,A,5.0,6.52,Hoffenheim,5.3,6,2,13,5.0,9,3,18/01/2019,1.44,5,6.0,0,6.25,21,1.48,4.94,1.44,2,6.5,3,D1,2,1.45,9,0,4.2,1,A,6.5,6.25,1.48,Bayern Munich,4.75,4.75,1.48,5.11,13,1.6
0,A,3.8,1.91,Augsburg,2.0,3,1,13,3.6,9,3,19/01/2019,4.0,6,1.9,0,1.85,11,4.21,3.76,4.0,5,1.88,2,D1,1,3.9,3,0,3.4,1,A,1.93,2.14,4.33,Fortuna Dusseldorf,3.6,3.6,3.58,3.59,13,3.8
0,D,3.4,3.53,Nurnberg,3.15,4,1,13,3.4,9,2,20/01/2019,2.2,3,3.5,0,3.2,16,2.2,3.47,2.1,4,3.3,3,D1,1,2.2,8,1,3.3,1,A,3.4,3.09,2.25,Hertha,3.4,3.3,2.42,3.47,14,2.3
0,D,3.25,2.65,Hertha,2.7,6,2,15,3.25,10,2,25/01/2019,2.8,4,2.5,0,2.6,14,2.91,3.3,2.87,3,2.55,2,D1,1,2.9,7,2,3.2,2,D,2.6,2.65,2.8,Schalke 04,3.2,3.2,2.93,3.26,11,2.7
0,H,8.0,1.17,Dortmund,1.17,3,0,7,7.5,10,1,26/01/2019,17.0,9,1.16,0,1.17,11,16.2,8.22,15.0,6,1.15,1,D1,1,19.0,3,1,7.5,5,H,1.15,1.17,15.5,Hannover,7.75,7.5,17.17,8.09,18,15.0
0,D,12.0,1.11,Bayern Munich,1.1,1,1,9,13.0,9,1,27/01/2019,26.0,6,1.08,0,1.09,7,23.85,11.23,21.0,8,1.07,1,D1,1,26.0,2,1,9.1,4,H,1.09,1.1,23.0,Stuttgart,11.5,11.0,29.05,11.41,19,28.0
0,A,4.6,5.83,Hannover,5.8,7,1,14,4.33,17,2,01/02/2019,1.53,1,5.5,0,6.0,19,1.57,4.51,1.53,0,5.5,3,D1,2,1.55,8,0,4.2,0,A,5.75,5.23,1.53,RB Leipzig,4.4,4.33,1.7,4.01,5,1.55
0,D,3.8,3.32,Ein Frankfurt,3.4,4,1,15,3.6,6,2,02/02/2019,2.15,7,3.3,0,3.25,13,2.19,3.72,2.15,6,3.2,1,D1,2,2.2,4,1,3.5,1,D,3.1,3.31,2.15,Dortmund,3.6,3.6,2.17,3.8,12,2.1
0,H,3.5,2.18,Augsburg,2.2,3,0,18,3.5,10,0,03/02/2019,3.2,8,2.1,0,2.25,6,3.43,3.63,3.4,7,2.2,0,D1,1,3.3,0,2,3.4,3,H,2.2,2.3,3.2,Mainz,3.4,3.4,3.18,3.63,19,3.3
0,A,3.9,3.9,Mainz,3.7,4,4,13,3.8,5,3,08/02/2019,1.95,2,3.8,0,3.75,18,1.93,3.93,1.9,4,3.75,5,D1,1,1.95,7,1,3.5,1,A,3.7,4.29,1.87,Leverkusen,4.0,3.8,1.78,4.28,15,2.0
0,H,7.0,1.23,Bayern Munich,1.22,2,1,8,7.0,9,1,09/02/2019,15.0,4,1.2,0,1.22,7,14.28,6.48,13.0,7,1.22,1,D1,2,13.0,5,2,7.0,3,H,1.22,1.25,12.5,Schalke 04,6.75,6.5,12.92,6.49,17,11.0
1,H,3.5,2.21,Fortuna Dusseldorf,2.1,4,0,18,3.5,8,3,10/02/2019,3.6,6,2.1,0,2.1,15,3.6,3.4,3.5,5,2.15,0,D1,4,3.5,2,1,3.4,3,H,2.15,2.19,3.5,Stuttgart,3.5,3.4,3.53,3.5,15,3.5
0,D,7.0,12.19,Augsburg,9.0,9,2,13,6.0,12,1,15/02/2019,1.22,2,15.0,0,13.5,17,1.22,7.4,1.2,1,12.0,3,D1,2,1.22,8,2,5.8,2,A,13.0,13.41,1.2,Bayern Munich,7.0,7.0,1.19,8.16,8,1.3
0,H,3.5,2.46,Hertha,2.35,3,0,16,3.5,11,3,16/02/2019,3.0,2,2.4,0,2.4,8,3.01,3.49,2.9,4,2.4,1,D1,3,2.9,2,1,3.5,1,D,2.45,2.61,2.8,Werder Bremen,3.6,3.4,2.89,3.4,11,2.9
0,H,3.75,2.32,Ein Frankfurt,2.35,7,0,12,3.6,8,3,17/02/2019,3.0,3,2.3,0,2.3,14,3.08,3.71,3.0,8,2.3,1,D1,1,2.9,5,1,3.5,1,D,2.3,2.3,3.0,M'gladbach,3.6,3.6,3.23,3.56,12,2.9
0,D,4.8,7.68,Nurnberg,6.5,11,0,8,5.0,9,1,18/02/2019,1.4,2,7.5,0,7.0,17,1.44,4.83,1.4,3,8.0,0,D1,1,1.45,6,0,4.8,0,D,7.0,6.11,1.42,Dortmund,5.0,4.8,1.58,4.26,7,1.45
0,D,4.4,1.6,Werder Bremen,1.6,2,1,7,4.33,9,1,22/02/2019,5.8,4,1.53,0,1.57,8,5.62,4.39,5.75,4,1.57,1,D1,3,5.75,3,1,4.2,1,D,1.57,1.6,5.5,Stuttgart,4.25,4.2,5.57,4.42,15,5.3
1,D,7.0,1.21,Bayern Munich,1.2,3,0,12,7.0,6,2,23/02/2019,15.0,4,1.18,0,1.19,9,15.65,7.0,17.0,11,1.2,0,D1,0,13.0,2,0,7.0,1,H,1.22,1.21,15.0,Hertha,7.0,6.5,14.46,7.24,12,13.0
0,H,4.2,1.85,Dortmund,1.83,8,1,10,4.2,9,1,24/02/2019,4.2,4,1.8,0,1.85,13,4.14,4.06,4.0,3,1.8,2,D1,2,3.9,4,2,4.0,3,H,1.83,1.98,3.9,Leverkusen,3.9,4.0,3.85,3.82,9,3.9
0,A,4.2,1.83,RB Leipzig,1.8,4,1,16,4.0,21,0,25/02/2019,4.0,4,1.8,0,1.83,7,4.11,4.24,4.0,6,1.8,1,D1,1,3.9,4,0,4.1,1,D,1.83,1.91,4.0,Hoffenheim,3.9,4.0,3.95,4.01,15,3.9
0,H,4.33,6.26,Augsburg,6.0,4,0,15,4.5,11,1,01/03/2019,1.53,4,5.75,0,5.5,18,1.55,4.43,1.53,1,6.0,1,D1,2,1.55,8,1,4.0,2,H,6.25,5.81,1.57,Dortmund,4.25,4.33,1.62,4.18,9,1.57
1,D,3.8,2.33,Ein Frankfurt,2.35,3,1,8,3.75,16,0,02/03/2019,2.88,10,2.37,0,2.3,20,2.94,3.9,2.8,4,2.3,2,D1,3,2.88,7,1,3.5,3,H,2.3,2.47,2.85,Hoffenheim,3.75,3.75,2.76,3.88,18,2.9
0,H,4.0,1.72,Stuttgart,1.7,0,0,15,4.0,16,2,03/03/2019,4.75,8,1.72,0,1.72,3,5.14,3.95,4.5,7,1.7,1,D1,2,4.75,1,3,3.95,5,H,1.73,1.72,4.6,Hannover,4.0,4.0,5.17,3.95,14,4.7
0,D,3.5,2.16,Werder Bremen,2.0,5,1,17,3.5,10,2,08/03/2019,3.6,7,2.05,0,2.0,14,3.73,3.38,3.6,4,2.1,2,D1,1,3.6,8,1,3.5,4,H,2.1,2.21,3.75,Schalke 04,3.5,3.4,3.5,3.48,20,3.75
0,H,6.5,1.24,Bayern Munich,1.25,2,0,9,6.5,6,0,09/03/2019,12.0,12,1.25,0,1.22,4,12.61,6.7,10.0,7,1.24,0,D1,1,11.5,1,2,6.1,6,H,1.25,1.22,12.5,Wolfsburg,6.5,6.5,13.38,6.98,22,11.0
0,A,5.5,8.15,Hannover,7.0,6,2,14,5.75,15,3,10/03/2019,1.35,5,8.5,0,7.75,15,1.39,5.29,1.3,6,8.5,3,D1,1,1.36,5,0,5.1,2,A,8.0,7.65,1.36,Leverkusen,5.25,5.25,1.4,5.27,11,1.4
0,D,3.6,2.73,Fortuna Dusseldorf,2.7,5,0,9,3.4,14,1,11/03/2019,2.5,3,2.75,0,2.7,15,2.55,3.74,2.55,1,2.7,3,D1,2,2.55,6,0,3.55,0,A,2.7,2.74,2.5,Ein Frankfurt,3.6,3.6,2.62,3.59,7,2.5
